Employee_Name,EmpID,MarriedID,MaritalStatusID,EmpStatusID,DeptID,PerfScoreID,Salary,Termd,PositionID,State,Zip,DOB,MaritalDesc,CitizenDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
"Goyal, Roxana",10256,1,1,3,5,3,49256,0,19,MA,1864,10/9/1974,Married,US Citizen,8/19/2013,,N/A-StillEmployed,Active,Production       ,20,LinkedIn,Fully Meets,4.1,5,0,2/14/2021,0,3
"Gray, Elijiah  ",10098,0,2,1,5,3,62957,0,18,MA,1752,7/11/1981,Divorced,US Citizen,6/2/2015,,N/A-StillEmployed,Active,Production       ,2,Employee Referral,Fully Meets,4.63,3,0,1/3/2021,0,2
"Gross, Paula",10059,0,2,5,5,3,63813,1,19,MA,2176,5/21/1983,Divorced,US Citizen,2/21/2011,1/11/2014,more money,Voluntarily Terminated,Production       ,18,CareerBuilder,Fully Meets,5,5,0,6/3/2015,0,17
"Gruber, Hans",10234,1,1,1,3,3,99020,0,4,MA,2134,6/30/1989,Married,US Citizen,4/20/2017,,N/A-StillEmployed,Active,IT/IS,13,Indeed,Fully Meets,4.2,5,5,1/27/2021,0,8
"Guilianno, Mike",10109,0,0,5,6,3,71707,1,3,TN,37129,2/9/1969,Single,US Citizen,3/7/2012,10/31/2014,relocation out of area,Voluntarily Terminated,Sales,17,LinkedIn,Fully Meets,4.5,5,0,2/1/2015,0,20
"Handschiegl, Joanne",10125,1,1,1,5,3,54828,0,19,MA,2127,3/23/1977,Married,US Citizen,11/28/2011,,N/A-StillEmployed,Active,Production       ,22,Google Search,Fully Meets,4.2,4,0,2/21/2021,0,13
"Hankard, Earnest",10074,0,0,1,5,3,64246,0,20,MA,2155,8/10/1988,Single,US Citizen,11/11/2013,,N/A-StillEmployed,Active,Production       ,18,LinkedIn,Fully Meets,5,3,0,1/7/2021,0,20
"Harrington, Christie ",10097,0,0,5,5,3,52177,1,19,MA,2324,8/18/1952,Single,US Citizen,1/9/2012,12/15/2015,retiring,Voluntarily Terminated,Production       ,39,CareerBuilder,Fully Meets,4.64,4,0,5/1/2017,0,8
"Harrison, Kara",10007,1,1,1,5,4,62065,0,19,MA,1886,5/2/1974,Married,US Citizen,5/12/2014,,N/A-StillEmployed,Active,Production       ,11,CareerBuilder,Exceeds,4.76,4,0,2/14/2021,0,5
"Heitzman, Anthony",10129,0,0,1,5,3,46998,0,19,MA,2149,1/4/1984,Single,US Citizen,8/13/2012,,N/A-StillEmployed,Active,Production       ,19,Google Search,Fully Meets,4.17,4,0,2/10/2021,0,1
"Hendrickson, Trina",10075,0,0,5,5,3,68099,1,20,MA,2021,8/27/1972,Single,US Citizen,1/10/2011,6/18/2013,hours,Voluntarily Terminated,Production       ,18,CareerBuilder,Fully Meets,5,3,0,1/30/2015,0,15
"Hitchcock, Alfred",10167,1,1,1,6,3,70545,0,3,NH,3062,9/14/1988,Married,US Citizen,8/18/2014,,N/A-StillEmployed,Active,Sales,17,Indeed,Fully Meets,3.6,5,0,1/29/2021,0,9
"Homberger, Adrienne  J",10195,1,1,5,5,3,63478,1,20,MA,2445,2/16/1984,Married,Non-Citizen,8/15/2011,4/7/2012,relocation out of area,Voluntarily Terminated,Production       ,30,Indeed,Fully Meets,3.03,5,0,3/5/2014,0,16
"Horton, Jayne",10112,0,0,1,3,3,97999,0,8,MA,2493,2/21/1984,Single,US Citizen,3/30/2015,,N/A-StillEmployed,Active,IT/IS,4,Indeed,Fully Meets,4.48,5,6,1/2/2021,0,4
"Houlihan, Debra",10272,1,1,1,6,3,180000,0,11,RI,2908,3/17/1966,Married,US Citizen,5/5/2014,,N/A-StillEmployed,Active,Sales,2,LinkedIn,Fully Meets,4.5,4,0,1/20/2021,0,19
"Howard, Estelle",10182,1,1,1,1,3,49920,1,2,MA,2170,9/16/1985,Married,US Citizen,2/16/2015,4/15/2015,"no-call, no-show",Terminated for Cause,Admin Offices,1,Indeed,Fully Meets,3.24,3,4,4/14/2017,0,6
"Hudson, Jane",10248,0,0,1,5,3,55425,0,19,MA,2176,6/10/1986,Single,US Citizen,2/20/2012,,N/A-StillEmployed,Active,Production       ,19,LinkedIn,Fully Meets,4.8,4,0,1/6/2021,0,4
"Hunts, Julissa",10201,0,0,2,5,3,69340,0,20,MA,2021,3/11/1984,Single,US Citizen,6/6/2016,,N/A-StillEmployed,Active,Production       ,16,LinkedIn,Fully Meets,3,5,0,1/17/2021,0,4
"Hutter, Rosalie",10214,0,3,2,5,3,64995,0,20,MA,2351,5/7/1992,Separated,US Citizen,6/5/2015,,N/A-StillEmployed,Active,Production       ,,Indeed,Fully Meets,4.5,3,0,2/13/2021,0,6
"Huynh, Ming",10160,0,2,5,5,3,68182,1,20,MA,1742,9/22/1976,Divorced,US Citizen,2/21/2011,4/1/2013,unhappy,Voluntarily Terminated,Production       ,11,Google Search,Fully Meets,3.72,3,0,2/1/2015,0,18
"Immediato, Walter",10289,1,1,5,5,2,83082,1,18,MA,2128,11/15/1976,Married,US Citizen,2/21/2011,9/24/2012,unhappy,Voluntarily Terminated,Production       ,2,Indeed,Needs Improvement,2.34,2,0,4/12/2014,3,4
"Ivey, Rose ",10139,0,0,1,5,3,51908,0,19,MA,1775,1/28/1991,Single,US Citizen,8/19/2013,,N/A-StillEmployed,Active,Production       ,12,Indeed,Fully Meets,3.99,3,0,1/13/2021,0,14
"Jackson, Maryellen",10227,0,0,1,5,3,61242,0,19,MA,2081,9/11/1972,Single,US Citizen,11/5/2012,,N/A-StillEmployed,Active,Production       ,14,LinkedIn,Fully Meets,4.1,3,0,1/16/2021,0,7
"Jacobi, Hannah  ",10236,0,2,1,5,3,45069,0,19,MA,1778,3/22/1966,Divorced,US Citizen,9/30/2013,,N/A-StillEmployed,Active,Production       ,20,Employee Referral,Fully Meets,4.3,5,0,2/21/2021,0,7
"Jeannite, Tayana",10009,0,2,1,5,4,60724,0,20,MA,1821,11/6/1986,Divorced,US Citizen,7/5/2011,,N/A-StillEmployed,Active,Production       ,19,LinkedIn,Exceeds,4.6,4,0,2/24/2021,0,11
"Jhaveri, Sneha  ",10060,0,3,1,5,3,60436,0,19,MA,2109,4/13/1964,Separated,US Citizen,1/6/2014,,N/A-StillEmployed,Active,Production       ,18,LinkedIn,Fully Meets,5,5,0,1/20/2021,0,9
"Johnson, George",10034,1,1,5,5,4,46837,1,19,MA,2445,8/19/1959,Married,US Citizen,11/7/2011,4/29/2018,more money,Voluntarily Terminated,Production       ,22,CareerBuilder,Exceeds,4.7,4,0,2/14/2020,0,9
"Johnson, Noelle ",10156,1,1,3,3,3,105700,0,8,MA,2301,11/7/1986,Married,US Citizen,1/5/2015,,N/A-StillEmployed,Active,IT/IS,4,Indeed,Fully Meets,3.75,3,5,2/10/2021,0,2
"Johnston, Yen",10036,0,0,1,5,4,63322,0,20,MA,2128,9/8/1969,Single,US Citizen,7/7/2014,,N/A-StillEmployed,Active,Production       ,12,LinkedIn,Exceeds,4.3,3,0,1/10/2021,0,1
"Jung, Judy  ",10138,1,1,5,5,3,61154,1,19,MA,2446,4/17/1986,Married,US Citizen,1/10/2011,4/1/2016,unhappy,Voluntarily Terminated,Production       ,16,CareerBuilder,Fully Meets,4,4,0,2/2/2018,0,4
"Kampew, Donysha",10244,0,0,5,6,3,68999,1,21,PA,19444,11/11/1989,Single,US Citizen,11/7/2011,4/24/2014,maternity leave - did not return,Voluntarily Terminated,Sales,15,Google Search,Fully Meets,4.5,5,0,3/30/2015,0,2
"Keatts, Kramer ",10192,0,0,1,5,3,50482,0,19,MA,1887,1/19/1976,Single,US Citizen,9/30/2013,,N/A-StillEmployed,Active,Production       ,22,Indeed,Fully Meets,3.07,4,0,1/22/2021,0,10
"Khemmich, Bartholemew",10231,0,0,1,6,3,65310,0,3,CO,80820,11/27/1979,Single,US Citizen,8/19/2013,,N/A-StillEmployed,Active,Sales,21,Indeed,Fully Meets,4.3,5,0,1/21/2021,0,13
"King, Janet",10089,1,1,1,2,3,250000,0,16,MA,1902,9/21/1954,Married,US Citizen,7/2/2012,,N/A-StillEmployed,Active,Executive Office,9,Indeed,Fully Meets,4.83,3,0,1/16/2021,0,10
"Kinsella, Kathleen  ",10166,1,1,5,5,3,54005,1,19,MA,2170,12/8/1973,Married,US Citizen,9/26/2011,6/4/2015,more money,Voluntarily Terminated,Production       ,39,Google Search,Fully Meets,3.6,5,0,2/28/2017,0,16
"Kirill, Alexandra  ",10170,1,1,5,5,3,45433,1,19,MA,2127,10/8/1970,Married,US Citizen,9/26/2011,1/9/2014,more money,Voluntarily Terminated,Production       ,11,Google Search,Fully Meets,3.49,4,0,1/30/2015,0,6
"Knapp, Bradley  J",10208,0,0,1,5,3,46654,0,19,MA,1721,11/10/1977,Single,US Citizen,2/17/2014,,N/A-StillEmployed,Active,Production       ,19,LinkedIn,Fully Meets,3.1,3,0,2/5/2021,0,3
"Kretschmer, John",10176,1,1,1,5,3,63973,0,19,MA,1801,2/2/1980,Married,US Citizen,1/10/2011,,N/A-StillEmployed,Active,Production       ,12,Indeed,Fully Meets,3.38,3,0,1/20/2021,0,17
"Kreuger, Freddy",10165,0,0,1,6,3,71339,0,3,NY,10171,2/24/1969,Single,US Citizen,3/7/2011,,N/A-StillEmployed,Active,Sales,17,Diversity Job Fair,Fully Meets,3.65,5,0,1/16/2021,0,20
"Lajiri,  Jyoti",10113,1,1,3,3,3,93206,0,28,MA,2169,4/23/1986,Married,US Citizen,11/10/2014,,N/A-StillEmployed,Active,IT/IS,7,Employee Referral,Fully Meets,4.46,5,6,1/6/2021,0,7
"Landa, Hans",10092,1,1,4,5,3,82758,1,18,MA,1890,7/1/1972,Married,US Citizen,1/10/2011,12/12/2015,attendance,Terminated for Cause,Production       ,2,Employee Referral,Fully Meets,4.78,4,0,2/14/2017,0,9
"Langford, Lindsey",10106,0,2,5,5,3,66074,1,20,MA,2090,7/25/1979,Divorced,US Citizen,1/7/2013,3/31/2014,Another position,Voluntarily Terminated,Production       ,14,Indeed,Fully Meets,4.52,3,0,2/20/2016,0,20
"Langton, Enrico",10052,1,1,1,5,3,46120,0,19,MA,2048,12/9/1986,Married,US Citizen,7/9/2012,,N/A-StillEmployed,Active,Production       ,14,LinkedIn,Fully Meets,5,5,0,2/3/2021,0,13
"LaRotonda, William  ",10038,0,2,1,1,3,64520,0,1,MA,1460,4/26/1984,Divorced,US Citizen,1/6/2014,,N/A-StillEmployed,Active,Admin Offices,1,Website,Fully Meets,5,4,4,1/16/2021,0,3
"Latif, Mohammed",10249,1,1,5,5,3,61962,1,20,MA,2126,5/9/1984,Married,US Citizen,4/2/2012,4/15/2013,more money,Voluntarily Terminated,Production       ,20,Google Search,Fully Meets,4.9,3,0,2/20/2015,0,20
"Le, Binh",10232,0,0,1,3,3,81584,0,22,MA,1886,6/14/1987,Single,US Citizen,10/2/2016,,N/A-StillEmployed,Active,IT/IS,13,Indeed,Fully Meets,4.1,5,7,1/7/2021,0,2
"Leach, Dallas",10087,0,0,5,5,3,63676,1,19,MA,1810,1/17/1979,Single,US Citizen,9/26/2011,8/19/2018,return to school,Voluntarily Terminated,Production       ,20,CareerBuilder,Fully Meets,4.88,3,0,7/2/2019,0,17
"LeBlanc, Brandon  R",10134,1,1,1,1,3,93046,0,23,MA,1460,6/10/1984,Married,US Citizen,1/5/2016,,N/A-StillEmployed,Active,Admin Offices,2,CareerBuilder,Fully Meets,4.1,4,0,1/27/2021,0,20
"Lecter, Hannibal",10251,1,1,1,5,3,64738,0,19,MA,1776,9/2/1982,Married,US Citizen,5/14/2012,,N/A-StillEmployed,Active,Production       ,16,Google Search,Fully Meets,4.1,3,0,2/21/2021,0,10
"Leruth, Giovanni",10103,0,3,1,6,3,70468,0,3,UT,84111,12/27/1988,Separated,US Citizen,4/30/2012,,N/A-StillEmployed,Active,Sales,17,Website,Fully Meets,4.53,3,0,1/28/2021,0,16
"Liebig, Ketsia",10017,1,1,1,5,4,77915,0,18,MA,2110,10/26/1981,Married,US Citizen,9/30/2013,,N/A-StillEmployed,Active,Production       ,2,Website,Exceeds,4.1,3,0,1/20/2021,0,11
"Linares, Marilyn ",10186,1,1,5,5,3,52624,1,19,MA,1886,3/26/1981,Married,US Citizen,7/5/2011,9/26/2018,unhappy,Voluntarily Terminated,Production       ,22,Indeed,Fully Meets,3.18,4,0,3/1/2020,0,16
"Linden, Mathew",10137,1,1,3,5,3,63450,0,20,MA,1770,3/19/1979,Married,US Citizen,7/8/2013,,N/A-StillEmployed,Active,Production       ,18,LinkedIn,Fully Meets,4,3,0,2/17/2021,0,7
"Lindsay, Leonara ",10008,0,0,1,3,4,51777,0,14,CT,6070,10/5/1988,Single,US Citizen,1/21/2011,,N/A-StillEmployed,Active,IT/IS,6,Diversity Job Fair,Exceeds,4.64,4,5,1/24/2021,0,14
"Lundy, Susan",10096,0,4,5,5,3,67237,1,20,MA,2122,12/26/1976,Widowed,US Citizen,7/8/2013,9/15/2016,more money,Voluntarily Terminated,Production       ,22,LinkedIn,Fully Meets,4.65,4,0,6/10/2018,0,15
"Lunquist, Lisa",10035,0,0,1,5,4,73330,0,20,MA,2324,3/28/1982,Single,US Citizen,8/19/2013,,N/A-StillEmployed,Active,Production       ,16,Indeed,Exceeds,4.2,4,0,2/11/2021,0,19
"Lydon, Allison",10057,1,1,3,5,3,52057,0,19,MA,2122,10/22/1975,Married,US Citizen,2/16/2015,,N/A-StillEmployed,Active,Production       ,16,Website,Fully Meets,5,3,0,1/22/2021,0,6
"Lynch, Lindsay",10004,0,0,5,5,4,47434,1,19,MA,1844,2/14/1973,Single,US Citizen,11/7/2011,11/14/2015,Another position,Voluntarily Terminated,Production       ,39,Diversity Job Fair,Exceeds,5,4,0,2/1/2017,0,17
"MacLennan, Samuel",10191,0,4,5,5,3,52788,1,19,MA,1938,11/9/1972,Widowed,US Citizen,9/24/2012,9/26/2017,hours,Voluntarily Terminated,Production       ,11,Indeed,Fully Meets,3.08,4,0,4/1/2019,0,18
"Mahoney, Lauren  ",10219,0,0,1,5,3,45395,0,19,MA,2189,7/7/1986,Single,US Citizen,1/6/2014,,N/A-StillEmployed,Active,Production       ,19,LinkedIn,Fully Meets,4.6,4,0,2/25/2021,0,14
"Manchester, Robyn",10077,1,1,2,5,3,62385,0,20,MA,2324,8/25/1976,Married,US Citizen,5/11/2016,,N/A-StillEmployed,Active,Production       ,,LinkedIn,Fully Meets,5,3,0,1/20/2021,0,4
"Mancuso, Karen",10073,1,1,5,5,3,68407,1,20,MA,2176,12/10/1986,Married,US Citizen,7/5/2011,8/19/2012,Another position,Voluntarily Terminated,Production       ,11,LinkedIn,Fully Meets,5,4,0,7/2/2014,0,16
"Mangal, Debbie",10279,1,1,1,5,3,61349,0,19,MA,2451,11/7/1974,Married,US Citizen,11/11/2013,,N/A-StillEmployed,Active,Production       ,12,LinkedIn,Fully Meets,4.1,3,0,1/21/2021,0,11
"Martin, Sandra",10110,0,0,1,4,3,105688,0,24,MA,2135,11/7/1987,Single,US Citizen,11/11/2013,,N/A-StillEmployed,Active,Software Engineering,10,Google Search,Fully Meets,4.5,5,4,1/13/2021,0,14
"Maurice, Shana",10053,1,1,1,5,3,54132,0,19,MA,2330,11/22/1977,Married,US Citizen,5/31/2011,,N/A-StillEmployed,Active,Production       ,14,Indeed,Fully Meets,5,4,0,1/9/2021,0,8
"Carthy, B'rigit",10076,0,0,1,5,3,55315,0,20,MA,2149,5/21/1987,Single,US Citizen,3/30/2015,,N/A-StillEmployed,Active,Production       ,19,LinkedIn,Fully Meets,5,5,0,2/6/2021,0,16
"Mckenna, Sandy",10145,1,1,1,5,3,62810,0,19,MA,2184,1/7/1987,Married,US Citizen,1/7/2013,,N/A-StillEmployed,Active,Production       ,20,CareerBuilder,Fully Meets,3.93,3,0,1/29/2021,0,20
"McKinzie, Jac",10202,1,1,2,6,3,63291,0,3,TX,78789,7/1/1984,Married,US Citizen,7/6/2016,,N/A-StillEmployed,Active,Sales,21,Website,Fully Meets,3.4,4,0,1/28/2021,0,7
"Meads, Elizabeth",10128,0,0,5,5,3,62659,1,19,MA,1760,5/30/1968,Single,US Citizen,4/2/2012,11/11/2016,Another position,Voluntarily Terminated,Production       ,18,Diversity Job Fair,Fully Meets,4.18,4,0,2/4/2018,0,17
"Medeiros, Jennifer",10068,0,0,1,5,3,55688,0,19,MA,2346,9/22/1976,Single,US Citizen,3/30/2015,,N/A-StillEmployed,Active,Production       ,22,CareerBuilder,Fully Meets,5,4,0,1/20/2021,0,10
"Miller, Brannon",10116,0,0,1,5,3,83667,0,18,MA,2045,8/10/1981,Single,US Citizen,8/16/2012,,N/A-StillEmployed,Active,Production       ,2,Indeed,Fully Meets,4.37,3,0,1/13/2021,0,2
"Miller, Ned",10298,0,0,5,5,1,55800,1,20,MA,2472,6/29/1985,Single,US Citizen,8/15/2011,9/4/2014,unhappy,Voluntarily Terminated,Production       ,12,LinkedIn,PIP,3,2,0,1/14/2015,6,6
"Monkfish, Erasumus",10213,1,1,1,5,3,58207,0,20,MA,1450,8/17/1992,Married,US Citizen,11/7/2011,,N/A-StillEmployed,Active,Production       ,14,LinkedIn,Fully Meets,3.7,3,0,1/7/2021,0,14
"Monroe, Peter",10288,1,1,1,3,2,157000,0,13,MA,2134,10/5/1986,Married,Eligible NonCitizen,2/15/2012,,N/A-StillEmployed,Active,IT/IS,5,Diversity Job Fair,Needs Improvement,2.39,3,6,2/21/2021,4,13
"Monterro, Luisa",10025,0,0,1,5,4,72460,0,20,MA,2126,4/24/1970,Single,US Citizen,5/13/2013,,N/A-StillEmployed,Active,Production       ,20,Indeed,Exceeds,4.7,3,0,1/13/2021,0,1
"Moran, Patrick",10223,0,0,3,5,3,72106,0,20,MA,2127,12/3/1976,Single,US Citizen,1/9/2012,,N/A-StillEmployed,Active,Production       ,18,Diversity Job Fair,Fully Meets,4.1,4,0,1/30/2021,0,12
"Morway, Tanya",10151,1,1,1,3,3,52599,0,15,MA,2048,4/4/1979,Married,US Citizen,2/16/2015,,N/A-StillEmployed,Active,IT/IS,7,CareerBuilder,Fully Meets,3.81,3,6,2/10/2021,0,6
"Motlagh,  Dawn",10254,0,2,1,5,3,63430,0,19,MA,2453,7/7/1984,Divorced,US Citizen,4/1/2013,,N/A-StillEmployed,Active,Production       ,16,LinkedIn,Fully Meets,4.4,4,0,1/16/2021,0,18
"Moumanil, Maliki ",10120,0,3,1,5,3,74417,0,20,MA,1460,12/1/1974,Separated,US Citizen,5/13/2013,,N/A-StillEmployed,Active,Production       ,22,LinkedIn,Fully Meets,4.29,5,0,1/27/2021,0,11
"Myers, Michael",10216,0,0,1,5,3,57575,0,19,MA,1550,4/18/1980,Single,US Citizen,7/8/2013,,N/A-StillEmployed,Active,Production       ,20,LinkedIn,Fully Meets,4.1,4,0,1/21/2021,0,13
"Navathe, Kurt",10079,0,0,1,3,3,87921,0,22,MA,2056,4/25/1970,Single,US Citizen,2/10/2017,,N/A-StillEmployed,Active,IT/IS,13,Indeed,Fully Meets,5,3,6,2/24/2021,0,17
"Ndzi, Colombui",10215,0,0,5,5,3,50470,1,19,MA,2110,5/2/1989,Single,US Citizen,9/26/2011,4/4/2014,return to school,Voluntarily Terminated,Production       ,39,Diversity Job Fair,Fully Meets,4.3,3,0,3/2/2015,0,19
"Ndzi, Horia",10185,1,1,5,5,3,46664,1,19,MA,2421,3/28/1983,Married,US Citizen,4/1/2013,5/25/2016,more money,Voluntarily Terminated,Production       ,11,Employee Referral,Fully Meets,3.18,3,0,3/6/2018,0,10
"Newman, Richard ",10063,1,1,3,5,3,48495,0,19,MA,2136,4/8/1977,Married,US Citizen,5/12/2014,,N/A-StillEmployed,Active,Production       ,19,LinkedIn,Fully Meets,5,5,0,2/17/2021,0,11
"Ngodup, Shari ",10037,0,3,1,5,4,52984,0,19,MA,1810,6/3/1967,Separated,US Citizen,4/1/2013,,N/A-StillEmployed,Active,Production       ,12,Diversity Job Fair,Exceeds,4,3,0,2/12/2021,0,12
"Nguyen, Dheepa",10042,0,0,1,6,3,63695,0,3,GA,30428,3/31/1989,Single,US Citizen,7/8/2013,,N/A-StillEmployed,Active,Sales,21,Indeed,Fully Meets,5,5,0,1/24/2021,0,2
"Nguyen, Lei-Ming",10206,0,0,1,5,3,62061,0,19,MA,2132,7/7/1984,Single,US Citizen,7/8/2013,,N/A-StillEmployed,Active,Production       ,14,LinkedIn,Fully Meets,3.6,5,0,1/1/2021,0,4
"Nowlan, Kristie",10104,0,0,1,5,3,66738,0,20,MA,1040,11/23/1985,Single,US Citizen,11/10/2014,,N/A-StillEmployed,Active,Production       ,16,Indeed,Fully Meets,4.53,5,0,1/15/2021,0,5
"O'hare, Lynn",10303,0,0,4,5,1,52674,1,19,MA,2152,9/30/1980,Single,US Citizen,3/31/2014,5/1/2018,performance,Terminated for Cause,Production       ,20,LinkedIn,PIP,2.33,2,0,3/8/2020,6,3
"Oliver, Brooke ",10078,1,1,5,5,3,71966,1,20,MA,2492,2/11/1952,Married,US Citizen,5/14/2012,8/19/2013,unhappy,Voluntarily Terminated,Production       ,39,LinkedIn,Fully Meets,5,3,0,7/2/2015,0,17
"Onque, Jasmine",10121,0,0,1,6,3,63051,0,3,FL,33174,5/11/1990,Single,US Citizen,9/30/2013,,N/A-StillEmployed,Active,Sales,21,Indeed,Fully Meets,4.28,3,0,1/24/2021,0,1
"Osturnka, Adeel",10021,1,1,1,5,4,47414,0,19,MA,2478,12/11/1976,Married,US Citizen,9/30/2013,,N/A-StillEmployed,Active,Production       ,18,LinkedIn,Exceeds,5,3,0,2/6/2021,0,13
"Owad, Clinton",10281,0,0,1,5,2,53060,0,19,MA,1760,11/24/1979,Single,US Citizen,2/17/2014,,N/A-StillEmployed,Active,Production       ,22,LinkedIn,Needs Improvement,4.25,3,0,2/3/2021,4,6
"Ozark, Travis",10041,0,0,1,6,3,68829,0,3,NC,27229,5/19/1982,Single,US Citizen,1/5/2015,,N/A-StillEmployed,Active,Sales,17,Website,Fully Meets,5,5,0,1/13/2021,0,18
"Panjwani, Nina",10148,1,1,5,5,3,63515,1,19,MA,2351,5/1/1979,Married,US Citizen,2/7/2011,1/12/2014,Another position,Voluntarily Terminated,Production       ,16,Google Search,Fully Meets,3.89,4,0,3/4/2015,0,7
"Patronick, Lucas",10005,0,0,5,4,4,108987,1,24,MA,1844,2/20/1979,Single,US Citizen,11/7/2011,9/7/2015,Another position,Voluntarily Terminated,Software Engineering,10,Diversity Job Fair,Exceeds,5,5,3,8/15/2017,0,13
"Pearson, Randall",10259,1,1,5,3,3,93093,1,9,MA,2747,9/5/1984,Married,US Citizen,12/1/2014,5/1/2016,performance,Voluntarily Terminated,IT/IS,4,Employee Referral,Fully Meets,4.7,4,5,1/15/2018,0,19
"Smith, Martin",10286,0,0,5,5,2,53564,1,19,MA,2458,3/17/1988,Single,US Citizen,1/10/2011,12/28/2017,career change,Voluntarily Terminated,Production       ,39,Google Search,Needs Improvement,3.54,5,0,4/6/2019,4,15
"Pelletier, Ermine",10297,1,1,5,5,2,60270,1,20,MA,2472,7/18/1989,Married,US Citizen,7/5/2011,9/15/2015,unhappy,Voluntarily Terminated,Production       ,11,CareerBuilder,Needs Improvement,2.4,5,0,2/5/2017,5,2
"Perry, Shakira",10171,0,0,5,5,3,45998,1,19,MA,2176,7/20/1986,Single,US Citizen,5/16/2011,10/25/2015,medical issues,Voluntarily Terminated,Production       ,11,LinkedIn,Fully Meets,3.45,4,0,5/12/2016,0,5
"Peters, Lauren",10032,1,1,5,5,4,57954,1,20,MA,1886,8/17/1986,Married,US Citizen,5/16/2011,2/4/2013,more money,Voluntarily Terminated,Production       ,19,Indeed,Exceeds,4.2,5,0,1/10/2015,0,12
"Peterson, Ebonee  ",10130,1,1,5,5,3,74669,1,18,MA,2030,5/9/1977,Married,US Citizen,10/25/2010,5/18/2016,Another position,Voluntarily Terminated,Production       ,2,Indeed,Fully Meets,4.16,5,0,3/4/2017,0,6
"Petingill, Shana  ",10217,1,1,1,5,3,74226,0,20,MA,2050,3/10/1979,Married,Eligible NonCitizen,4/2/2012,,N/A-StillEmployed,Active,Production       ,12,LinkedIn,Fully Meets,4.3,3,0,1/13/2021,0,14
"Petrowsky, Thelma",10016,1,1,1,3,4,93554,0,9,MA,1886,9/16/1984,Married,US Citizen,11/10/2014,,N/A-StillEmployed,Active,IT/IS,4,Employee Referral,Exceeds,4.6,5,7,1/3/2021,0,16
"Pham, Hong",10050,1,1,5,5,3,64724,1,19,MA,2451,3/6/1988,Married,US Citizen,7/5/2011,11/30/2012,more money,Voluntarily Terminated,Production       ,12,Google Search,Fully Meets,5,3,0,2/19/2014,0,13
"Pitt, Brad ",10164,0,0,1,5,3,47001,0,19,MA,2451,11/23/1981,Single,US Citizen,11/5/2007,,N/A-StillEmployed,Active,Production       ,14,Google Search,Fully Meets,3.66,3,0,2/24/2021,0,15
"Potts, Xana",10124,1,1,1,6,3,61844,0,3,KY,40220,8/29/1988,Married,US Citizen,1/9/2012,,N/A-StillEmployed,Active,Sales,21,Website,Fully Meets,4.2,5,0,1/31/2021,0,9
"Power, Morissa",10187,0,2,5,5,3,46799,1,19,MA,1742,10/15/1984,Divorced,Eligible NonCitizen,5/16/2011,6/4/2018,Another position,Voluntarily Terminated,Production       ,20,Google Search,Fully Meets,3.17,4,0,4/1/2020,0,14
"Punjabhi, Louis  ",10225,0,0,1,5,3,59472,0,19,MA,2109,6/19/1961,Single,US Citizen,1/6/2014,,N/A-StillEmployed,Active,Production       ,18,Employee Referral,Fully Meets,4.8,3,0,1/6/2021,0,14
"Purinton, Janine",10262,0,2,5,5,3,46430,1,19,MA,2474,9/22/1970,Divorced,US Citizen,9/24/2012,6/18/2013,unhappy,Voluntarily Terminated,Production       ,20,Indeed,Fully Meets,4.5,5,0,4/2/2015,0,16
"Quinn, Sean",10131,1,1,5,1,3,83363,1,23,MA,2045,11/6/1984,Married,Eligible NonCitizen,2/21/2011,8/15/2015,career change,Voluntarily Terminated,Software Engineering,2,Diversity Job Fair,Fully Meets,4.15,4,0,4/18/2016,0,4
"Rachael, Maggie",10239,1,1,1,3,3,95920,0,4,MA,2110,5/12/1980,Married,US Citizen,10/2/2016,,N/A-StillEmployed,Active,IT/IS,13,Indeed,Fully Meets,4.4,4,6,2/5/2021,0,10
"Rarrick, Quinn",10152,0,2,5,5,3,61729,1,19,MA,2478,12/31/1984,Divorced,US Citizen,9/26/2011,4/7/2018,more money,Voluntarily Terminated,Production       ,22,Indeed,Fully Meets,3.8,5,0,2/4/2020,0,19
"Ren, Kylo",10140,1,1,1,6,3,61809,0,3,ID,83706,10/12/1954,Married,US Citizen,5/12/2014,,N/A-StillEmployed,Active,Sales,17,CareerBuilder,Fully Meets,3.98,3,0,1/27/2021,0,4
"Rhoads, Thomas",10058,0,2,5,5,3,45115,1,19,MA,2176,7/22/1982,Divorced,US Citizen,5/16/2011,1/15/2016,retiring,Voluntarily Terminated,Production       ,16,LinkedIn,Fully Meets,5,4,0,3/29/2017,0,11
"Rivera, Haley  ",10011,1,1,1,5,4,46738,0,19,MA,2171,1/12/1973,Married,US Citizen,11/28/2011,,N/A-StillEmployed,Active,Production       ,,Google Search,Exceeds,4.36,5,0,2/10/2021,0,16
"Roberson, May",10230,0,2,5,5,3,64971,1,20,MA,1902,9/5/1981,Divorced,Eligible NonCitizen,9/26/2011,10/22/2011,return to school,Voluntarily Terminated,Production       ,14,Google Search,Fully Meets,4.5,4,0,10/21/2013,0,10
